created_at,text,edit_history_tweet_ids,id,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count
2024-04-07T12:50:05.000Z,"@Interconnect_hq is Hiring for Multiple positions!

Positions Available
• Creative Designer - Remote
•  Social Media Manager - Remote
• General Manager - Remote
• Business Development Executive - Lagos
• Business Development Executive - Abuja
• Sales Executive - Lagos
•… https://t.co/vlgh5DH4HG https://t.co/xaSHl2uMI7",['1776955607355912350'],1776955607355912350,4,0,19,0,11,5282
2024-04-07T12:09:34.000Z,"Urgent Hiring!!

Remote Remote Customer Support Representative Needed!

📍100% remote (Worldwide 🌎)

Pay: $50,000 - $60,000 CAD

Requirements
- 2+ years of experience in a Customer Support or Technical Support role for a software product (SaaS support experience is a plus, but… https://t.co/vP7rwOiYKg",['1776945412135358642'],1776945412135358642,33,4,67,0,114,18464
2024-04-07T11:04:09.000Z,"RT @Jediah79056137: 💰 Free money! 
📌Sign up now with this link and be ready for tomorrow's update!👇
🔗 https://t.co/md8C141bP6

⏸️👆 Only reg…",['1776928946887483606'],1776928946887483606,4,0,0,0,0,0
2024-04-07T10:02:09.000Z,"If you're currently on the lookout for a job opportunity, drop a comment below with the job role you're looking for and the location you prefer.",['1776913345733411000'],1776913345733411000,7,85,57,0,3,15329
2024-04-07T09:58:18.000Z,"RT @AbrahamOkah2: 25 Websites Offering Free and Online Educational Courses

Take online courses from the world’s top universities for free.…",['1776912374223544612'],1776912374223544612,33,0,0,0,0,0
2024-04-07T09:58:15.000Z,"RT @Tsinformation1: Full Scholarship… check and apply now!

Applications to study at the University of Miami in the USA 🇺🇸 are now open to…",['1776912361401577758'],1776912361401577758,40,0,0,0,0,0
2024-04-07T08:53:53.000Z,"Sample Internship Request Letter Template

Share with and tag your friends who are struggling to create a strong internship request letter https://t.co/kYfKrrNdAP",['1776896163565690994'],1776896163565690994,28,0,49,0,99,5694
2024-04-07T08:20:01.000Z,RT @Tsinformation1: Vitality Supported Accommodation is currently hiring Support Workers/Carers to join their team. Qualified and experienc…,['1776887641390133623'],1776887641390133623,11,0,0,0,0,0
2024-04-07T07:33:28.000Z,"Not receiving any replies from hiring managers after your interview? 
Send this email 📩

Share and tag your friends who are struggling to create a strong follow-up email. https://t.co/qThbTXRZXB",['1776875926980043124'],1776875926980043124,45,0,109,1,138,7711
2024-04-07T06:10:37.000Z,Never fall for this trick in an interview https://t.co/E9uqV1Kfpy,['1776855078147596707'],1776855078147596707,30,0,112,0,98,6504
2024-04-07T06:03:13.000Z,"RT @Tsinformation1: Hull University Teaching Hospitals is part of one of the largest acute and community Group arrangements in the NHS, and…",['1776853215587258520'],1776853215587258520,21,0,0,0,0,0
