edit_history_tweet_ids,text,created_at,id,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count
['1765829950131560775'],"#RickyStanicky stars Zac Efron &amp; John Cena share which scenes from their new film made them break character, and their favorite one-liners. https://t.co/6QUXgCbYmV https://t.co/DwsUsUUXrB",2024-03-07T20:00:42.000Z,1765829950131560775,24,4,112,8,4,31537
['1765762438949953647'],"Come for the apocalypse, stay for the delightful #Fallout. All episodes of @falloutonprime come exclusively to @primevideo on April 11. https://t.co/5JPjzQWh9U https://t.co/CIUCsrUDK3",2024-03-07T15:32:26.000Z,1765762438949953647,26,6,162,4,8,29161
['1765588198401442023'],"Preparing for this film to emotionally destroy us, you? #TheIdeaOfYou @primvideo https://t.co/t72UVFFMNc https://t.co/6EPM2xw7lZ",2024-03-07T04:00:04.000Z,1765588198401442023,18,7,124,0,9,38509
['1765543004402598015'],Which film would you choose for Best Motion Picture of the Year at the 96th Academy Awards? #Oscars https://t.co/SbE4bfnAqv,2024-03-07T01:00:29.000Z,1765543004402598015,32,31,161,11,13,51975
['1765467574609825914'],What's next for the world of #Dune? We're diving headfirst into all the theories around the future of Arrakis. https://t.co/gJXNHyCRXE https://t.co/GYrAt45sWx,2024-03-06T20:00:45.000Z,1765467574609825914,16,3,91,0,4,26335
['1765411929974013965'],"Feel...everything. #TheIdeaOfYou, starring Anne Hathaway and Nicholas Galitzine, streams May 2 on @primevideo. https://t.co/VIq0QqlE1o https://t.co/WeGEmPEoBk",2024-03-06T16:19:38.000Z,1765411929974013965,11,3,114,8,7,36896
['1765407106881015975'],"Until equity on set is a given, #ReFrame and @imdbpro are committed to making the industry more balanced. It's just a bonus that the resulting work is hilarious, thought-provoking, and boundary-pushing. 😏 https://t.co/vz5tXLpFhp https://t.co/Vw7TshnwFR",2024-03-06T16:00:28.000Z,1765407106881015975,11,1,52,0,1,19219
['1765063481017974880'],#HouseOfTheDragon Season 2 will premiere on #HBO in June 👑🐉 https://t.co/1qIxerwito https://t.co/GiJY3prlAm,2024-03-05T17:15:01.000Z,1765063481017974880,53,4,317,13,4,45846
['1764712551051321712'],"People really respect honesty. Here's an EXCLUSIVE look at #BennyDrama in ""First Time Female Director,"" streaming exclusively on The Roku Channel March 8. https://t.co/MAByUVvtuP https://t.co/yofQ7dtSY8",2024-03-04T18:00:33.000Z,1764712551051321712,13,2,66,2,1,27002
['1764380588096503960'],IMDb breaks down the acting career of Paul Giamatti from his first onscreen role to his Oscar-nominated part in #TheHoldovers. https://t.co/X8J6TNa1mc https://t.co/IARiUfrtLs,2024-03-03T20:01:27.000Z,1764380588096503960,42,6,164,5,11,44954
['1764093516244787409'],"#Spaceman stars #AdamSandler and #CareyMulligan discuss how they approached portraying husband and wife in the science-fiction romance, and Mulligan reveals her all-time favorite movie of her costar. https://t.co/2RvVoJi07b https://t.co/RVtGKrTd68",2024-03-03T01:00:44.000Z,1764093516244787409,33,9,157,1,5,42233
['1763957439190159696'],💥 Which would you rather see Timothée Chalamet play? 💥 https://t.co/LjF8LIEdAf,2024-03-02T16:00:00.000Z,1763957439190159696,24,22,110,2,1,37902
['1763655670077796449'],"Emmy-winning actor Zendaya returns as Chani in #DunePartTwo. We're breaking down Zendaya’s milestones, from her early work as a Disney Channel star to her iconic roles in the ’Spider-Man’ franchise and “Euphoria.” https://t.co/MiRLd0XG3Q https://t.co/okyheJCe3J",2024-03-01T20:00:53.000Z,1763655670077796449,65,3,237,2,16,32488
['1763595179020181594'],Women keeping us inspired 25/8 💛 See more 👉 https://t.co/jpmUy8UZvv #WHM https://t.co/nY7TDZK6C2,2024-03-01T16:00:31.000Z,1763595179020181594,27,4,124,5,1,33670
['1763368629674910131'],Who would you choose for Best Actor in a Supporting Role at the 96th Academy Awards? #Oscars https://t.co/XmWYSzpZAt https://t.co/WuFTceyi2U,2024-03-01T01:00:17.000Z,1763368629674910131,30,23,152,4,9,36128
['1763338363065507913'],"Tall, brooding, and a little beat-up—we can't wait to see #JacobElordi take on #Frankenstein's monster. Thoughts? https://t.co/TBHwhjB9KN https://t.co/4FYehQBTEi",2024-02-29T23:00:01.000Z,1763338363065507913,25,5,154,2,3,28587
['1763236674556027262'],"Some people would rather crash than slow down. Tom Hardy, Austin Butler, and Jodie Comer star in #TheBikeriders, in theaters June 21.  @bikeridersfilm https://t.co/C3QOqZjI5d",2024-02-29T16:15:57.000Z,1763236674556027262,81,5,386,11,21,38010
['1762930991348224301'],"#TimotheeChalamet, #Zendaya, #AustinButler, and the cast of #DunePartTwo share what's changed on and off-set in since the first movie, and reveal which cast member's eyes captivate them the most on screen. https://t.co/9sS9YJuZfQ https://t.co/HcchMRNWjl",2024-02-28T20:01:16.000Z,1762930991348224301,60,5,250,0,27,32091
['1762896720021647631'],First look at #BillSkarsgård and #FKAtwigs in a modern re-imagining of 'The Crow' https://t.co/d5g1vDnAsc https://t.co/wHBoF2OPVX,2024-02-28T17:45:05.000Z,1762896720021647631,36,21,188,9,9,45680
['1762643857974452500'],Who is your pick for Best Actress at the 96th Academy Awards? #Oscars https://t.co/PGgXG4V5hM,2024-02-28T01:00:18.000Z,1762643857974452500,53,53,248,15,10,59311
['1762228487878812043'],"It's the range for me. 🖤 

Don't miss all the biggest moments from the 2024 #SpiritAwards streaming on the IMDb YouTube channel through March 24. https://t.co/8Xi6V3zj2y https://t.co/iir3eXmuUn",2024-02-26T21:29:46.000Z,1762228487878812043,39,11,182,3,18,54174
['1762190833464295738'],"After-party outfits 10/10, no notes. #SAGAwards #TedLasso https://t.co/MRkKOIk0AR",2024-02-26T19:00:09.000Z,1762190833464295738,268,8,2330,47,79,151939
['1761919011460182382'],"That's a wrap on Film Independent #SpiritAwards 2024! Catch up on all the winners here, and watch the show on our YouTube channel. 🎥 https://t.co/I9KTFAbga6 https://t.co/dU9YdIkRur",2024-02-26T01:00:01.000Z,1761919011460182382,27,4,123,2,2,42216
['1761910661280681994'],RT @Straw_Hat_Goofy: And that’s it from The Spirit Awards! @IMDb @filmindependent #SpiritAwards #imdbpartner https://t.co/4cmYnq72VC,2024-02-26T00:26:51.000Z,1761910661280681994,4,0,0,0,0,4
['1761904142296191284'],RT @Straw_Hat_Goofy: The Spirit Award for Best Feature goes to Past Lives!! 🙌🏿  @IMDb @filmindependent #SpiritAwards #imdbpartner,2024-02-26T00:00:56.000Z,1761904142296191284,2,0,0,0,0,4
['1761903927115841843'],RT @Straw_Hat_Goofy: Celine Song wins Best Director at the Spirit Awards! Her reaction is priceless. @IMDb @filmindependent #SpiritAwards #…,2024-02-26T00:00:05.000Z,1761903927115841843,2,0,0,0,0,4
['1761903905129238887'],RT @Straw_Hat_Goofy: This is your sign to watch A Thousand and One because it just won Best First Feature at the Spirit Awards. @IMDb @film…,2024-02-26T00:00:00.000Z,1761903905129238887,4,0,0,0,0,4
['1761894757545152564'],RT @Straw_Hat_Goofy: DOMINIC SESSA WINS BEST BREAKTHROIGH PERFORMANCE. We’re not biased at all. @IMDb @filmindependent #spiritawards #imdbp…,2024-02-25T23:23:39.000Z,1761894757545152564,7,0,0,0,0,3
['1761892979416199451'],RT @Straw_Hat_Goofy: Ali Wong wins Best Lead Performance in a Scripted Series for Beef!! And I got no beef with that. @IMDb @Independent #S…,2024-02-25T23:16:35.000Z,1761892979416199451,2,0,0,0,0,3
['1761892837585719619'],RT @Straw_Hat_Goofy: Nick Offerman is awarded for his performance in the highest rated episode of The Last of Us. Makes sense 👍🏿 @IMDb @fil…,2024-02-25T23:16:01.000Z,1761892837585719619,3,0,0,0,0,3
['1761892822616363207'],RT @Straw_Hat_Goofy: DaVine Joy Randolph takes home ANOTHER win for Best Supporting! Can’t stop her. @IMDb @filmindependent #spiritawards #…,2024-02-25T23:15:57.000Z,1761892822616363207,4,0,0,0,0,3
['1761892618563375431'],RT @Straw_Hat_Goofy: Hey guys! Your boy is with @IMDb at the #spiritawards and I’m be live tweeting all my reactions from the show! @filmin…,2024-02-25T23:15:09.000Z,1761892618563375431,5,0,0,0,0,2
['1761886345465565291'],James Marsden. That's it. That's the post. #SpiritAwards https://t.co/8Xi6V3zj2y https://t.co/8Hdr0sqzn7,2024-02-25T22:50:13.000Z,1761886345465565291,48,7,405,11,11,57561
['1761873709466611769'],"We're #LIVE at the @filmindependent #SpiritAwards24! Watch the entire show right here and let us know who you're most excited to see win 🎥🏆
 https://t.co/DIAA4uwhOd",2024-02-25T22:00:01.000Z,1761873709466611769,11,1,49,2,1,33061
['1761864140275020070'],"The IMDb Studio is officially open at the 2024 #SpiritAwards! First up, #TheSummerITurnedPretty star @gavincasalegno. 💜

Catch the show streaming at 2:00 pm PT/5:00 pm ET on the IMDb YouTube channel: https://t.co/8Xi6V3zj2y https://t.co/7cMOaYMtyV",2024-02-25T21:21:59.000Z,1761864140275020070,4,3,46,9,3,34855
