created_at,conversation_id,text,lang,id,edit_history_tweet_ids,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count,in_reply_to_user_id,username
2026-04-07T16:09:49.000Z,2041549010914124066,"Ooh, now you're letting go 🌕
 
As our Artemis II astronauts prepare to leave the lunar sphere of influence and return to Earth's gravitational pull, they listened to ""Tokyo Drifting,"" by Denzel Curry and Glass Animals, as their wakeup song. https://t.co/1Xu6LN55nV",en,2041549010914124066,['2041549010914124066'],7431,958,84515,928,6425,9503976,,NASA
2026-04-07T15:13:54.000Z,2041534940635152433,"Safety first!
 
The Artemis II astronauts can be seen in their eclipse glasses, worn to protect their eyes when they experienced a solar eclipse on April 6. The Sun, the Moon, and the Orion spacecraft aligned — and Moon joy was had! https://t.co/AySBKEbUdY",en,2041534940635152433,['2041534940635152433'],6765,1337,76103,321,1862,2508603,,NASA
2026-04-07T02:46:26.000Z,2041199374827409801,"Coming up next, our @NASAArtemis astronauts and @NASAAdmin answer questions from social media. Stay tuned: https://t.co/do2p0Gvxdu",en,2041346834719809629,['2041346834719809629'],674,156,4786,24,305,1148467,11348282,NASA
2026-04-07T00:47:56.000Z,2041199374827409801,"🌞🌕🧑‍🚀

Right now, the Orion capsule is passing behind the Moon, so the Sun is entirely eclipsed from their perspective. During this time, they will view a mostly darkened Moon and will use the opportunity to analyze the solar corona. https://t.co/PWDPfZKxGh",en,2041317015474798693,['2041317015474798693'],3944,249,23110,234,1431,1635330,11348282,NASA
2026-04-07T00:13:54.000Z,2041199374827409801,"During today's lunar flyby, Mission Control regained communications with Artemis II after a planned communications blackout as the Orion capsule traveled on the far side of the Moon.",en,2041308450622226499,['2041308450622226499'],230,64,2440,19,38,367722,11348282,NASA
2026-04-07T00:13:02.000Z,2041308230614126775,"On the shoulders of giants... 🧑🏼‍🚀

The Artemis II crew aboard Integrity have officially traveled farther into space than any humans before, passing the record set during Apollo. Our live coverage continues:

https://t.co/do2p0Gvxdu",en,2041308230614126775,['2041308230614126775'],5352,1213,26325,328,1279,3108825,,NASA
2026-04-06T23:09:28.000Z,2041199374827409801,Update: We'll be extending our livestream coverage tonight to have a little more time with the Artemis II crew.,en,2041292233878503599,['2041292233878503599'],193,62,2540,8,40,311990,11348282,NASA
2026-04-06T22:57:44.000Z,2041199374827409801,"While the Artemis II crew are experiencing their own personal solar eclipse, Mission Control will temporarily lose communications with the capsule. This is planned and expected. We anticipate regaining communications in about 30 minutes. https://t.co/QjeORjlfZB",en,2041289280107000000,['2041289280107000000'],886,124,6417,89,278,548863,11348282,NASA
2026-04-06T18:53:57.000Z,2041199374827409801,"Clocking in ⏱️
 
Moon joy is in full swing as the Artemis II crew begins seven hours of lunar observation. Crewmembers will photograph both the near and far sides of the Moon and describe what they see. Watch live: https://t.co/9SEktt7TE9",en,2041227930047496403,['2041227930047496403'],593,118,4337,48,180,596039,11348282,NASA
2026-04-06T18:27:21.000Z,2041199374827409801,"To commemorate the Artemis II mission, the astronauts announced their suggestion to rename certain features on the Moon to honor the Orion spacecraft, named Integrity, as well as commander Reid Wiseman's late wife, Carroll. https://t.co/ejfhnItDo8",en,2041221238274568520,['2041221238274568520'],3045,272,16384,667,1390,1480831,11348282,NASA
2026-04-06T18:01:08.000Z,2041199374827409801,"A new milestone for humankind: The crew of Artemis II are now the farthest any human has ever travelled, reaching a maximum distance of 252,752 miles from Earth.
 
This surpasses the previous record set by Apollo 13 in 1970 by about 4,102 miles. https://t.co/DbLFvvdEfT",en,2041214639988478110,['2041214639988478110'],13334,753,50934,1238,2848,3959477,11348282,NASA
2026-04-06T17:00:29.000Z,2041199374827409801,"LIVE: Watch with us as the Artemis II astronauts make their closest approach to the Moon, traveling farther from Earth than ever before. https://t.co/Zpy7GdTqA8",en,2041199374827409801,['2041199374827409801'],23803,4058,87250,2756,9069,9881966,,NASA
2026-04-06T15:27:44.000Z,2041175087643009330,A preview of how the crew will describe and image targets on the Moon for lunar science objectives: https://t.co/WcSIkRCoK8,en,2041176035345956973,['2041176035345956973'],416,63,4551,17,258,717508,11348282,NASA
2026-04-06T15:23:58.000Z,2041175087643009330,"Tired: Monday
Wired: Moonday

Today our Artemis II astronauts fly around the Moon! Tune in, starting at 1pm ET (1700 UTC) as they view parts of the Moon never seen by human eyes.

Watch it live with us: https://t.co/fAg0bGAqEc https://t.co/OMG3uNrHAk",en,2041175087643009330,['2041175087643009330'],3545,454,16474,348,1777,1779734,,NASA
2026-04-06T15:08:42.000Z,2041171245027541434,"""Welcome to my old neighborhood."" Our @NASAArtemis II astronauts woke up on the sixth day of their mission to a special message recorded in 2025 by astronaut Jim Lovell, the pilot of Apollo 8. https://t.co/XA4Dc2yQm5",en,2041171245027541434,['2041171245027541434'],8829,550,64692,711,4959,5066240,,NASA
2026-04-06T15:01:06.000Z,2041169331652817360,"Make new friends, but keep the old.

A new photo captures the Moon's near side on the right (the side we see from Earth, identifiable by its dark splotches) and its far side on the left. The Artemis II crew are the first to see the far side with human eyes. https://t.co/Z8QaZ6J9iA",en,2041169331652817360,['2041169331652817360'],30355,2528,222160,1702,8393,8643103,,NASA
2026-04-06T14:35:37.000Z,2041162918318780663,"Morning routine: Wake up, shave, make the bed, witness something that's never before been seen by human eyes.
 
The Artemis II crew is preparing for today's lunar flyby, when they will see the Moon's far side. https://t.co/E7EUvRUzRP",en,2041162918318780663,['2041162918318780663'],3964,1098,52241,191,1144,1680350,,NASA
2026-04-06T14:05:03.000Z,2041155224862085258,"You had us at cosmic brownie!✨
 
The @NASAArtemis II crew has quite a selection to choose from for midday meals.
 
Tell us your lunar lunch pick! https://t.co/JQIbDqz45W",en,2041155224862085258,['2041155224862085258'],1702,570,14101,81,616,919132,,NASA
