id,lang,edit_history_tweet_ids,text,created_at,conversation_id,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count,username
1987883098109841476,en,['1987883098109841476'],"In this “Ask Me Anything” (AMA) episode, I break down the science of dietary fiber, moving beyond the blanket advice to “eat more fiber."" I discuss what fiber actually does in the body, where the evidence supports clear benefits, and more.

https://t.co/vbkeXq4TEF",2025-11-10T14:00:38.000Z,1987883098109841476,11,15,127,1,48,28626,PeterAttiaMD
1987520621144592842,en,['1987520621144592842'],"Building on recent analysis of U.S. media coverage and mortality, we assessed how our own focus aligns with real health risks. Full article linked below.

https://t.co/6SRNkUQmd2",2025-11-09T14:00:17.000Z,1987520621144592842,12,9,143,4,35,49540,PeterAttiaMD
1986796001580007875,en,['1986796001580007875'],"How scheduling sex can rekindle desire | Sally Greenwald, M.D.

This clip is from episode # 371 of The Drive which was released on 11/3/25.

In the full episode, we cover:

-The physiology of the female orgasm, sexual comfort and satisfaction, and the disparity between men and https://t.co/mqnaY7Qhtu",2025-11-07T14:00:54.000Z,1986796001580007875,26,14,650,1,942,303342,PeterAttiaMD
1985708844576653707,en,['1985708844576653707'],"Do hormones shape female attraction? | Sally Greenwald, M.D.

This clip is from episode # 371 of The Drive which was released on 11/3/25.

In the full episode, we cover:

-The physiology of the female orgasm, sexual comfort and satisfaction, and the disparity between men and https://t.co/MN5O8GUFar",2025-11-04T14:00:55.000Z,1985708844576653707,21,6,292,4,316,77597,PeterAttiaMD
1985346417133490563,en,['1985346417133490563'],"In episode #371 of The Drive, I sit down with Sally Greenwald, M.D., M.P.H. She explains why sexual health is a vital component of overall well-being, exploring topics such as the drivers of desire, the anatomy of sexual function, and more.

https://t.co/UYfA61ez55",2025-11-03T14:00:46.000Z,1985346417133490563,7,5,87,0,52,33794,PeterAttiaMD
1984983929137295847,en,['1984983929137295847'],"Metabolizing dietary protein requires more energy than metabolizing other macronutrients, but is the effect large enough to matter? Full article linked below.

https://t.co/jgqzxK1TAz",2025-11-02T14:00:22.000Z,1984983929137295847,15,18,230,0,45,42357,PeterAttiaMD
1983896969727590719,en,['1983896969727590719'],"Methylene blue &amp; longevity | Peter Attia, M.D.

This clip is from episode # 370 of The Drive which was released on 10/27/25.

In the full episode, I cover:

-The state of evidence for alleged geroprotective effects of GLP-1 receptor agonists, SGLT2 inhibitors, methylene blue, and https://t.co/WNWl9PFUsC",2025-10-30T14:01:11.000Z,1983896969727590719,22,14,246,1,211,50006,PeterAttiaMD
1983172180910170257,en,['1983172180910170257'],"Could GLP-1s impact aging and cognitive health? | Peter Attia, M.D.

This clip is from episode # 370 of The Drive which was released on 10/27/25.

In the full episode, I cover:

-The state of evidence for alleged geroprotective effects of GLP-1 receptor agonists, SGLT2 https://t.co/hIZTYof9vf",2025-10-28T14:01:08.000Z,1983172180910170257,14,13,205,1,131,44381,PeterAttiaMD
1982809670352879676,en,['1982809670352879676'],"In this “Ask Me Anything” (AMA) episode, I revisit my “proven, promising, fuzzy, noise, nonsense” framework to evaluate the scientific credibility of today’s most popular longevity and health interventions.

https://t.co/1ueUKZypw1",2025-10-27T14:00:38.000Z,1982809670352879676,12,3,154,0,67,33942,PeterAttiaMD
1982447201562304914,en,['1982447201562304914'],"Early results hint at lifespan extension with psilocybin, but is this science ready to inform human aging? Full article linked below.

https://t.co/tKooG7SXxO",2025-10-26T14:00:19.000Z,1982447201562304914,74,23,665,13,319,92511,PeterAttiaMD
1980635466253688883,en,['1980635466253688883'],"How Older Adults Can Stop Muscle Loss | Rhonda Patrick, Ph.D. (@foundmyfitness)

This clip is from episode # 369 of The Drive which was released today (10/20/25).

In the full episode, we cover:

-How protein requirements evolve with age, activity, and goals, and why building https://t.co/R31x6HCv3a",2025-10-21T14:01:08.000Z,1980635466253688883,172,29,1208,8,969,105955,PeterAttiaMD
1980272955834716613,en,['1980272955834716613'],"In episode #369, I sit down with Rhonda Patrick, Ph.D., (@foundmyfitness) to unpack what the science says about optimal protein intake, how creatine supports both physical performance and cognitive function, and the mechanisms behind sauna’s health benefits.",2025-10-20T14:00:39.000Z,1980272955834716613,26,21,468,10,178,169458,PeterAttiaMD
1979910477393137807,en,['1979910477393137807'],"Creatine and cognition, anti-inflammatory effects of probiotics, frailty and hospital outcomes, metformin for longevity, and lipid-lowering drugs. Full Research Worth Sharing newsletter article linked below.

https://t.co/1HS2GIN5n2",2025-10-19T14:00:17.000Z,1979910477393137807,46,5,439,2,235,55192,PeterAttiaMD
1979185904783708281,en,['1979185904783708281'],"Metabolic dysfunction rarely makes itself known until late in the process. Long before a diagnosis of type 2 diabetes, the body may already be struggling to store and access fuel efficiently.

This guide distills the most important insights from science and clinical practice to https://t.co/2PRON8xHRP",2025-10-17T14:01:05.000Z,1979185904783708281,20,15,219,1,138,42863,PeterAttiaMD
