id,text,created_at,edit_history_tweet_ids,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count
1777362806339142140,@jimfunk10 Just skip the honey and you’re good,2024-04-08T15:48:09.000Z,['1777362806339142140'],0,1,1,0,0,501
1777362642362863777,@NoahRyanCo Ok parmesan salad boy!,2024-04-08T15:47:30.000Z,['1777362642362863777'],0,0,0,0,0,924
1777358611452146160,"Easy Italian dressing:

-1/2 cup extra-virgin olive oil
-1/4 cup red wine vinegar
-1 teaspoon dijon mustard
-1/2 teaspoon dried oregano
-1 small clove garlic, minced
-Tiny pinch of sugar or honey (optional)
-Salt and freshly ground pepper https://t.co/p2lsJ6BDkd https://t.co/pE51SiZQtc",2024-04-08T15:31:29.000Z,['1777358611452146160'],57,13,639,0,1106,60156
1777356508755288308,"Meredith came to me wanting to lose some weight and improve her nutrition overall

“Now I enjoy eating a large meal jam packed with essential nutrients, rather than stressing out about calories”

“A good relationship with food can change your life—Chris has helped me change mine” https://t.co/Z1ntNMqSB2",2024-04-08T15:23:08.000Z,['1777356508755288308'],1,1,1,0,1,6939
1777356277640765748,"Evan came to me wanting to fix his debilitating gut issues 

“I had all kinds of problems, not digesting meals, constant upset stomach, avoiding a lot of foods”

After just a few weeks we were able to completely resolve them!

“Now it’s like the problems were never there” https://t.co/B91QQkQO1p",2024-04-08T15:22:12.000Z,['1777356277640765748'],0,1,0,0,2,4113
1777356063102099867,"Rina came to me wanting to resolve her gut and improve her cooking

In just a few weeks she had major improvement while loving every meal!

“Digestion has never been better”

“I always dealt with stomach pain &amp; indigestion but not anymore”

“I’m finally enjoying every meal” https://t.co/37wDzMOjVk",2024-04-08T15:21:21.000Z,['1777356063102099867'],0,1,1,0,0,699
1777349884523237565,"Chelsea came to me wanting to lose weight, but quickly got the news she was pregnant

We switched gears to focus on getting all the prenatal nutrition she needs

""I'd highly recommend Chris to anyone stuck with their weight""

""I now have the tools for a healthy pregnancy as well… https://t.co/nSuPvnF2Sx https://t.co/OIEhVkKGxt",2024-04-08T14:56:48.000Z,['1777349884523237565'],0,1,0,0,0,2572
1777349685377749189,"Tom came to me wanting to improve his gut issues, eczema and put on muscle!

In about 1.5 months, his eczema is 90% gone!🤯

He’s also putting on muscle and enjoying his food (of course)

“Feeling physically and mentally stronger every day” https://t.co/GOwOnLpSMl",2024-04-08T14:56:01.000Z,['1777349685377749189'],0,1,0,0,0,2590
1777349187245363374,@Leon36963 Appreciate your support!🙏,2024-04-08T14:54:02.000Z,['1777349187245363374'],0,0,4,0,0,1949
1777348412582580261,"Did you know you can find the recipe for every single meal I post on X in my recipe database?

All in one, easy to use app

Have all of my recipes at your fingertips!

Plus a new recipe every week, and other exclusive content!

👇🏼👇🏼👇🏼

https://t.co/WH1XtuZrRT https://t.co/99CEjjwq6M",2024-04-08T14:50:57.000Z,['1777348412582580261'],7,0,37,0,38,12917
